smiles,status
[O-][N+](=O)c1cc2nc([O-])c(nc2c2c1c(ccc2)S(=O)(=O)N)[O-].[Na+].[Na+],0
[O-]C(=O)C(O)C.[O-]C(=O)C(O)C.[Cu+2],1
[O-]C=O.[O-]C=O.[Cu+2],1
[O-]c1ccccc1C=NCCN=Cc1ccccc1[O-].[Cl-].[Mn+3],1
[O-]S(=O)(=O)N.COc1[nH]c2c(c1C(=O)OCC1CCN(CC1)CCNS(=O)(=O)C)cc(cc2)F.[H+],0
C(NC(c1ccccc1)c1ccccc1)CNC(c1ccccc1)c1ccccc1.Cl.Cl,1
C[C@H](Cc1cnc[nH]1)N.Cl.Cl,0
C[N+](CCCCCNCC12CC3CC(C2)CC(C1)C3)(C)C.[Br-].Br,0
C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1.[O-]C(=O)[C@@H]([C@H](C(=O)O)O)O.[O-]C(=O)[C@@H]([C@H](C(=O)O)O)O,0
C1CCN(CC1)Cc1cccc(c1)OCCCNc1nc2c(s1)cccc2.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O,1
C1CN=C(O1)NC(C1CC1)C1CC1.C1CN=C(O1)NC(C1CC1)C1CC1.OC(=O)C=CC(=O)O,0
CC(C[C@@H](C(=O)N[C@H](C(=O)[O-])Cc1c[nH]c2c1cccc2)NP(=O)(O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)[O-])C.[Na+].[Na+],0
CC1CNCCN1S(=O)(=O)c1cccc2c1ccnc2.Cl.Cl,0
CC1NCCN(C1)S(=O)(=O)c1cccc2c1ccnc2.Cl.Cl,0
CCCN1CCC[C@@H]2[C@@H]1Cc1cn[nH]c1C2.Cl.Cl,0
CCCN1CCC[C@H]2[C@H]1Cc1cnc(nc1C2)N.Cl.Cl,0
CCN(CCN1C(=O)CN=C(c2c1ccc(c2)Cl)c1ccccc1F)CC.Cl.Cl,0
ClCCN(Cc1cc(Cl)c(c(c1)Cl)NC1=NCCN1)C.Cl.Cl,0
CN(C/C=C(\c1cccnc1)/c1ccc(cc1)Br)C.Cl.Cl,0
CN(CCCCSC(=N)N)C.Cl.Cl,0
Cn1cc(nc1)CCN.Cl.Cl,0
CN1CCN(CC1)CC(=O)N1c2ccccc2C(=O)Nc2c1nccc2.Cl.Cl,0
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O,0
CNc1nc(NC)nc(c1)NS(=O)(=O)c1ccc(cc1)N.Cl.Cl,0
COc1cccc(c1[O-])C=NCCN=Cc1cccc(c1[O-])OC.[Cl-].[Mn+3],1
COc1ccccc1N1CCN(CC1)CC(COc1cccc2c1cccc2)O.Cl.Cl,1
Fc1ccc(cc1)C(c1ccc(cc1)F)N1CCN(CC1)C/C=C/c1ccccc1.Cl.Cl,1
N[C@@H](CC(C)C)CSSC[C@H](CC(C)C)N.Cl.Cl,0
N[C@H](C(=O)O)C(C)C.N[C@H](C(=O)O)CC(C)C.CC[C@@H]([C@@H](C(=O)O)N)C,1
N#Cc1cc2nc([O-])c(nc2cc1[N+](=O)[O-])[O-].[Na+].[Na+],0
N1CCN(CC1)c1ccc2c(n1)cccc2.OC(=O)/C=C\C(=O)O.OC(=O)/C=C\C(=O)O,0
NC(=N)c1ccc(cc1)OCCCCCOc1ccc(cc1)C(=N)N.OCCS(=O)(=O)O.OCCS(=O)(=O)O,0
NCCNS(=O)(=O)c1cccc2c1ccnc2.Cl.Cl,0
NOCC(=O)O.NOCC(=O)O.Cl,0
O[C@H]([C@H](C(=O)O)O)C(=O)O.COCCc1ccc(cc1)OCC(CNC(C)C)O.COCCc1ccc(cc1)OCC(CNC(C)C)O,0
O[C@H]([C@H](C(=O)O)O)C(=O)O.Oc1ccc(cc1)C(C(N1CCC(CC1)Cc1ccccc1)C)O.Oc1ccc(cc1)C(C(N1CCC(CC1)Cc1ccccc1)C)O,0
O[C@H]1[C@@H](COP(=O)(CP(=O)(OP(=O)([O-])[O-])O)O)O[C@H](C1O)n1cnc2c1ncnc2N.[Li+].[Li+],0
O=C1C=C[C@]2(C(=C1)CC[C@@H]1[C@]2(F)[C@@H](O)C[C@]2([C@H]1C[C@H]([C@]2(O)C(=O)COP(=O)([O-])[O-])C)C)C.[Na+].[Na+],1
O=C1SCC(N1)C(=O)[O-].O=C1SCC(N1)C(=O)[O-].[Mg+2],1
OC(=O)C=CC(=O)O.NCCC#N.NCCC#N,0
Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O.O.O,1
Oc1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@]4(O)Cc2c1[nH]c1c2C[C@@]2([C@@]34[C@H]1Oc1c4c(C[C@H]2N(CC3)CC2CC2)ccc1O)O)CC1CC1.Cl.Cl,0
OCC([C@H](C(=O)NCCC(=O)[O-])O)(C)C.OCC([C@H](C(=O)NCCC(=O)[O-])O)(C)C.[Ca+2],1
OCCN1CCN(CC1)CC/C=C\1/c2ccccc2Sc2c1cc(cc2)C(F)(F)F.Cl.Cl,1
OCCN1CCN(CC1)CCCN1c2ccccc2C=Cc2c1cccc2.Cl.Cl,0
ON1C(C)(C)CC(CC1(C)C)OC(=O)CCCCCCCCC(=O)OC1CC(C)(C)N(C(C1)(C)C)O.Cl.Cl,1
OP(=O)(O)O.OP(=O)(O)O.CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,0
OS(=O)(=O)O.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O.C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O,1
OS(=O)(=O)O.NC(=N)N1CCc2c(C1)cccc2.NC(=N)N1CCc2c(C1)cccc2,0
OS(=O)(=O)O.OC(c1cc(O)cc(c1)O)CNC(C)(C)C.OC(c1cc(O)cc(c1)O)CNC(C)(C)C,0
OS(=O)(=O)O.OC(c1cc(O)cc(c1)O)CNC(C)C.OC(c1cc(O)cc(c1)O)CNC(C)C,0
[O-]C(=O)C.[O-]C(=O)C.[Ni+2],1
NC(=N)SCCc1cccc(c1)CCSC(=N)N.Br.Br,0
NC(=N)SCCc1cnc[nH]1.Br.Br,0
Nc1ccc(cc1)C(=N)N.Cl.Cl,0
NCCCCN.Cl.Cl,0
NCCSC(=N)N.Br.Br,0
NCCSSCCN.Cl.Cl,0
OC1(OCC[N+](C1)(C)C)c1ccc(cc1)c1ccc(cc1)C1(O)OCC[N+](C1)(C)C.[Br-].[Br-],0
