smiles,status
COc1cc(cc(c1OC)OC)n1c(=O)cccc1c1ccc(cc1)[N+](=O)[O-],1
COc1cc(cc(c1OC)OC)n1c(=O)cccc1c1ccc2c(c1)OCO2,1
COc1ccc(cc1)c1cccc(=O)n1c1cc(OC)c(c(c1)OC)OC,1
COc1cc(cc(c1OC)OC)n1c(=O)cccc1c1ccc(c(c1)O)OC,1
COc1ccc2-c3c(Cc2c1)c([nH]n3)Nc1ccccc1,1
CCCCCOC(=O)N1CO[C@H]2[C@@H]1C[C@@H](O[C@H]2C)O[C@H]1C[C@@](O)(Cc2c1c(O)c1c(c2O)C(=O)c2c(C1=O)c(OC)ccc2)C(=O)CO,1
CCOC(=O)N1CO[C@H]2[C@@H]1C[C@@H](O[C@H]2C)O[C@H]1C[C@@](O)(Cc2c1c(O)c1c(c2O)C(=O)c2c(C1=O)c(OC)ccc2)C(=O)CO,1
CCCCCCCCCC[n+]1ccc2c(c1)n(CCCc1ccccc1)c1c2cccc1,1
O[C@@H]1CC(=C)[C@]2(C([C@@H]1Br)(C)C)CC[C@@]([C@@H](C2)Cl)(C)Br,1
Br/C=C/1\CC[C@]2(C=C1)C(C)(C)C[C@H](C[C@]2(C)O)Br,1
O[C@H]1CC(=C)[C@@]2(C([C@H]1Br)(C)C)CCC(=C(C2)Cl)C,1
CCOC(=O)c1sc(nc1C)NNS(=O)(=O)c1ccc(cc1)C,1
Cc1ccc(cc1)S(=O)(=O)NNc1scc(n1)C,1
CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2[C@@H](C)[C@H](C)CC1)C(=O)NCCNC(=O)[C@H](Cc1ccccc1)N)C)C,1
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@]34CC[C@@]5([C@@H]([C@H]4[C@@H](C[C@@H]3O)C(=C)C)C[C@@H]3[C@H]4[C@@]5(C)CC[C@H]([C@]4(C)[C@@H](CC(=O)O3)O)C(=C)C)C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O,1
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@@]34CC[C@H]([C@@H]4[C@@H]4[C@](CC3)(C)[C@]3(C)CC[C@H]([C@]5([C@H]3[C@@H](C4)OC(=O)C[C@H]5O)C)C(=C)C)C(=C)C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O,1
OC(=O)C[C@H]1OC([C@H]2[C@@]1(C)[C@H]1[C@H](O)C[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@]1([C@@H]3[C@@H](C[C@@H]1O)C(=C)C)C(=O)O)(C)C,1
O=C1O[C@@H]2C[C@@H]3[C@H]4[C@@H](C[C@@H]([C@@]4(CC[C@]3([C@]3([C@H]2[C@]([C@@H](C1)O)(C)[C@@H](CC3)C(=C)C)C)C)C(=O)O)O)C(=C)C,1
OC[C@H]1O[C@@H](OC(=O)[C@]23CC[C@@]4([C@@H]([C@H]3[C@@H](C[C@@H]2O)C(=C)C)C[C@@H]2[C@H]3[C@@]4(C)CC[C@H]([C@]3(C)[C@@H](CC(=O)O2)O)C(=C)C)C)[C@@H]([C@H]([C@@H]1O)O)O,1
OC[C@H]1O[C@@H](OC(=O)[C@]23CC[C@@]4([C@@H]([C@H]3[C@@H](C[C@@H]2O)C(=C)C)CC[C@H]2[C@@]4(C)CC[C@@H]3[C@]2(C)[C@@H](CC(=O)O)OC3(C)C)C)[C@@H]([C@H]([C@@H]1O)O)O,1
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC(=O)[C@]34CC[C@@]5([C@@H]([C@H]4[C@@H](CC3)C(=C)C)C[C@@H]3[C@H]4[C@@]5(C)CC[C@H]([C@]4(C)[C@@H](CC(=O)O3)O)C(=C)C)C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O,1
OC[C@H]1O[C@@H](OC(=O)[C@@]23CC[C@H]([C@@H]3[C@@H]3[C@](CC2)(C)[C@]2(C)CC[C@H]([C@]([C@H]2CC3)(C)CCC(=O)O)C(=C)C)C(=C)C)[C@@H]([C@H]([C@@H]1O)O)O,1
OC[C@H]1O[C@@H](OC(=O)C[C@H]2OC([C@H]3[C@@]2(C)[C@H]2CC[C@H]4[C@@]([C@]2(C)CC3)(C)CC[C@@]2([C@@H]4[C@@H](CC2)C(=C)C)C(=O)O)(C)C)[C@@H]([C@H]([C@@H]1O)O)O,1
OC(=O)CC[C@@]1(C)[C@@H](CC[C@@]2([C@@H]1CC[C@H]1[C@@]2(C)CC[C@@]2([C@@H]1[C@@H](CC2)C(=C)C)C(=O)O)C)C(C)C,1
O=CC1=C2[C@@H](O)C3=C(C)C(=O)O[C@H]3C[C@]2([C@H]2[C@@H]1C2)C,1
O[C@H]1O[C@@H]2C3=C1[C@H]1C[C@H]1[C@]3(C)C[C@H]1C2=C(C)C(=O)O1,1
OC[C@@]1(O)[C@H]2C[C@H]2[C@]2([C@H]1CC1=C(C)C(=O)O[C@H]1C2)C,1
O=C1O[C@@]2(C(=C1C)C[C@@H]1[C@](C2)(C)[C@H](O)CC[C@@]1(C)O)O,1
OC[C@H]1O[C@@H](O[C@]23OC(=O)C(=C3C[C@@H]3[C@](C2)(C)[C@@H]2C[C@@H]2C3=C)C)[C@@H]([C@H]([C@@H]1O)O)O,1
OCC1=C2CC3=C(C)C(=O)O[C@H]3C[C@]2([C@H]2[C@@H]1C2)C,1
OCC1=C2C[C@H]3[C@H](COC(=O)C)[C@@H]4[C@H]([C@@]3([C@@H]([C@@]2(OC1=O)OC)O)C)C4,1
OC[C@H]1O[C@@H](OC(=O)[C@]23CC[C@@]4([C@@H]([C@H]3[C@@H](C[C@@H]2O)C(=C)C)C[C@H]([C@H]2[C@@]4(C)CC[C@@H]3[C@]2(C)[C@@H](CC(=O)OC)OC3(C)C)O)C)[C@@H]([C@H]([C@@H]1O)O)O,1
COC(=O)C[C@H]1OC([C@H]2[C@@]1(C)[C@H]1[C@H](O)C[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@]1([C@@H]3[C@@H](CC1)C(=C)C)C(=O)O)(C)C,1
OC[C@H]1O[C@@H](OC(=O)[C@@]23CC[C@H]([C@@H]3[C@@H]3[C@](CC2)(C)[C@]2(C)CC[C@@H]4[C@]([C@H]2[C@@H](C3)O)(C)[C@@H](CC(=O)OC)OC4(C)C)C(=C)C)[C@@H]([C@H]([C@@H]1O)O)O,1
COC(=O)CC[C@@]1(C)[C@@H](CC[C@@]2([C@@H]1CC[C@H]1[C@@]2(C)CC[C@@]2([C@@H]1[C@@H](C[C@@H]2O)C(=C)C)C(=O)O)C)C(=C)C,1
COC(=O)CCC(=O)OCC1=C2[C@H](O)C3[C@](O)(COC(=O)/C(=C/C)/C)[C@@H]4[C@H]([C@@]3([C@H]3[C@]2(OC1=O)[C@H]1/C(=C(/C(=O)OC)\C)/C(=O)[C@@H]([C@@]2(C1=C(C3)[C@@H]1[C@H]2C1)C)O)C)C4,1
CSCC[C@@H](C(=O)NCCNC(=O)[C@@]12CC[C@H]([C@@H]([C@H]2C2=CC[C@H]3[C@@]([C@@]2(CC1)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)OC(=O)C)C)C)N,1
OC[C@H](NC(=O)[C@H](C(C)C)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
COc1cc(cc(c1OC)OC)c1oncc1c1ccc(c(c1)N)OC,1
O=C(C[C@H](C(=O)O)C)C[C@H]([C@H]1CC(=O)[C@@]2([C@]1(C)CC(=O)C1=C2C(=O)C[C@@H]2[C@]1(C)CCC(=O)C2(C)C)C)C,1
OC(=O)CC[C@H]([C@H]1CC(=O)[C@@]2([C@]1(C)CC(=O)C1=C2[C@@H](O)C[C@@H]2[C@]1(C)CCC(=O)C2(C)C)C)C,1
OC[C@@H](NC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
OC(=O)CC[C@H]([C@H]1CC(=O)[C@@]2([C@]1(C)CC(=O)C1=C2[C@@H](O)C[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O)C)C,1
COc1cc(cc(c1OC)OC)C(=O)/C(=C/c1ccc(c(c1)O)OC)/C,1
O=C(N[C@H](C(=O)N[C@H](Cc1ccccc1)COC(=O)c1ccccc1)Cc1c[nH]c2c1cccc2)OCC1c2ccccc2-c2c1cccc2,1
OC[C@H](NC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
O=C(N[C@H](C(=O)N[C@H](Cc1ccccc1)COC(=O)c1ccccc1)Cc1ccc2c(c1)cccc2)OCC1c2ccccc2-c2c1cccc2,1
CC(=O)OC[C@@H](NC(=O)[C@H](Cc1ccc2c(c1)cccc2)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
OC[C@H](NC(=O)[C@H](Cc1ccc2c(c1)cccc2)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
CCCCCCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@@H](CC[C@@H](CCCCCCCC1=C[C@@H](OC1=O)C)O)O)O,1
CC(=O)OC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CCC(=O)C1(C)C)C(=O)n1cncc1,1
C[C@@H]1OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC1=O)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,1
OCCN(Cc1ccc(cc1)OC)Cc1ccc(cc1)C(=O)Nc1ccccc1N,1
OCCN(Cc1ccc2c(c1)OCO2)Cc1ccc(cc1)C(=O)Nc1ccccc1N,1
OC[C@@H](NC(=O)[C@H](C(C)C)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
OCCN(Cc1ccc(c(c1)F)F)Cc1ccc(cc1)C(=O)Nc1ccccc1N,1
CCCCCCCC(C(CC[C@@H]([C@@H]1CC[C@H](O1)CCCCCCCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O,1
OCCN(Cc1ccccc1)Cc1ccc(cc1)C(=O)Nc1ccccc1N,1
Oc1ccc(cc1)NC1=CC(=O)c2c(C1=O)nc(s2)C,1
COc1ccc(cc1)NC1=CC(=O)c2c(C1=O)nc(s2)C,1
CC(=O)OC[C@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
O=C(N[C@H](C(=O)N[C@@H](Cc1ccccc1)COC(=O)c1ccccc1)Cc1c[nH]c2c1cccc2)OCC1c2ccccc2-c2c1cccc2,1
COc1cc(cc(c1OC)OC)c1oncc1c1ccc(c(c1)O)OC,1
OC[C@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)C=CC(=O)C1(C)C)C(=O)n1cncc1,1
CC(=O)OC[C@@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
CC(=O)OC[C@H](NC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
O=C(N[C@H](C(=O)N[C@H](Cc1ccccc1)COC(=O)c1ccccc1)Cc1ccccc1)OCC1c2ccccc2-c2c1cccc2,1
OC[C@@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
Ic1ccc(cc1)NC1=CC(=O)c2c(C1=O)nc(s2)C,1
OC[C@@]12CC[C@H]([C@@H]2[C@@H]2[C@](CC1)(C)[C@]1(C)CC[C@@H]3[C@]([C@H]1CC2)(C)CC[C@@H](C3(C)C)OC(=O)n1ccnc1)C(=C)C,1
OC[C@@H](NC(=O)[C@H](Cc1ccc2c(c1)cccc2)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
CC(=O)OC[C@H](NC(=O)[C@H](Cc1ccc2c(c1)cccc2)NC(=O)OCC1c2ccccc2-c2c1cccc2)Cc1ccccc1,1
Brc1ccc(cc1)NC1=CC(=O)c2c(C1=O)nc(s2)C,1
Nc1ccc(cc1F)c1cc(=O)c2c(o1)c(F)cc(c2N)F,1
O=C(n1ccnc1)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@H]2[C@@]1(C)CC[C@@]1([C@@H]2[C@@H](CC1)C(=C)C)C(=O)n1ccnc1)C)C,1
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4cccc(c4cc3Cn1c2=O)N,1
OCCN(Cc1cn(c2c1cccc2)C)Cc1ccc(cc1)C(=O)Nc1ccccc1N,1
O=C(n1ccnc1)OC1=C[C@@]2(C)[C@H](C(C1=O)(C)C)CC[C@@]1([C@@H]2CC[C@H]2[C@@]1(C)CC[C@@]1([C@@H]2[C@@H](CC1)C(=C)C)C(=O)n1ccnc1)C,1
COc1cc(OC)cc2c1[C@]1(O)[C@H](O)C[C@H]([C@@]1(O2)c1ccc(cc1)Br)c1ccccc1,1
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)COC(=O)n1cncc1,1
CC([C@H]1OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@H](NC1=O)C(C)C)C)C(C)C)C(C)C)C(O)(C)C)C)C(C)C)C(C)C)C(C)C)C(C)C)C,1
COC(=O)[C@@]12CC[C@H]([C@@H]2[C@@H]2[C@](CC1)(C)[C@]1(C)CC[C@@H]3[C@]([C@H]1CC2)(C)CC[C@@H](C3(C)C)OC(=O)n1ccnc1)C(=C)C,1
COc1ccc(cc1)c1cnoc1c1cc(OC)c(c(c1)OC)OC,1
CC([C@H]1OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@H](NC1=O)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(O)(C)C)C(C)C)C(C)C)C(C)C)C,1
COc1cc(cc(c1OC)OC)C1=C(C(=O)C1=O)c1ccc(c(c1)N)OC,1
CCCCCCC(CCC[C@@H]([C@H]1CC[C@@H](O1)[C@@H](CC[C@H]([C@@H](CCCCCCCCCCCCC1=C[C@@H](OC1=O)C)O)O)O)O)O,1
COc1cc(cc(c1OC)OC)C1=C(C(=O)C1=O)c1ccc2c(c1)cc[nH]2,1
COc1cc(cc(c1OC)OC)C1=C(C(=O)C1=O)c1ccc2c(c1)[nH]cc2,1
O=C(n1ccnc1)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@H]2[C@@]1(C)CC[C@@]1([C@@H]2[C@@H](CC1)C(=C)C)C(=O)O)C)C,1
CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)C=C(O)C(=O)C1(C)C)C(=O)n1cncc1,1
Fc1ccc(cc1)/C=N/NC(=O)Cn1c(=N)n(c2c1cc(cc2)[N+](=O)[O-])CC(=O)N/N=C/c1ccc(cc1)F,1
COCC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)COC(=O)n1cncc1,1
O=C1N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N([C@H](C(=O)O[C@@H]([C@@H]1NC(=O)c1c2-c(oc3c(n2)c(ccc3C)C(=O)N[C@H]2[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C(=O)[C@H]3N(C(=O)[C@H](NC2=O)C(C)C)CCC3)C)c(c(=O)c1N)C)C)C(C)C)C,1
CCCN1COc2c(C1)c1cc3Cn4c(-c3nc1cc2)cc1c(c4=O)COC(=O)[C@]1(O)CC,1
OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@@H]3NCO[C@@H]3[C@@H](O2)C)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,1
CCCCCCCCCC[C@@H]([C@H](CC[C@@H]([C@H](CC[C@H]([C@H]1CC[C@@H](O1)CCCCCCCCCC1=C[C@@H](OC1=O)C)O)O)O)O)O,1
O=C[C@@H]([C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)COC(=O)n1cncc1)C,1
CC(C[C@@H](B(O)O)NC(=O)[C@@H](NC(=O)c1cccc2c1CCCC2)Cc1ccccc1)C,1
