smiles,status
O=C1N[C@@H](C(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)CC(=O)N([C@@H](C(=O)O[C@@H]([C@H]1NC(=O)c1ccc(c2c1Nc1c(O2)c(C)c2c(c1C(=O)N[C@H]1[C@H](C)OC(=O)[C@@H](C(C)C)N(C)C(=O)CN(C(=O)[C@H]3N(C(=O)[C@@H](NC1=O)C(C)C)CCC3)C)nc(c(=O)o2)c1ccccc1)C)C)C(C)C)C,1
O=C1N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N([C@@H](C(=O)O[C@H]([C@H]1NC(=O)c1c2-c(oc3c(n2)c(ccc3C)C(=O)N[C@H]2[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C(=O)[C@H]3N(C(=O)[C@@H](NC2=O)C(C)C)CCC3)C)c(c(=O)c1N)C)C)C(C)C)C,1
CO[C@@H]([C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@H]([C@H](O5)C)OC)[C@H]([C@H](O4)C)OC(=O)C)c(c(c3c(c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@@H]3O[C@@H](C)[C@@H](C(C3)(C)O)OC(=O)C)[C@@H]([C@H](O2)C)O)[C@@H]([C@H](O1)C)O)O)O)C)C(=O)[C@H]([C@H](O)C)O,1
CO[C@@H]([C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@H]([C@H](O5)C)OC)[C@H]([C@H](O4)C)OC(=O)C)cc(c3c(c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@H](OC)[C@H]([C@@H](O3)C)OC(=O)C(C)C)[C@@H]([C@H](O2)C)O)[C@@H]([C@H](O1)C)O)O)O)C(=O)[C@H]([C@H](O)C)O,1
CO[C@@H]([C@@H]1Cc2cc3cc(O[C@@H]4O[C@H](C)[C@H]([C@@H](C4)O[C@H]4C[C@@H](O)[C@@H]([C@H](O4)C)O)O)c(c(c3c(c2C(=O)[C@H]1O[C@@H]1O[C@H](C)[C@H]([C@@H](C1)O[C@@H]1O[C@H](C)[C@H]([C@@H](C1)O[C@@H]1O[C@H](C)[C@H]([C@@](C1)(C)O)O)O)O)O)O)C)C(=O)[C@H]([C@H](O)C)O,1
CO[C@H]1C[C@H](O[C@H]2[C@@H](C)/C=C/C=C/3\CO[C@@H]4[C@@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](C/C=C/2\C)O[C@@]2(C3)C=C[C@@H]([C@H](O2)[C@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,1
CO[C@H]1C[C@H](O[C@H]2[C@@H](C)/C=C/C=C/3\CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](C/C=C/2\C)O[C@]2(C3)C=C[C@@H]([C@H](O2)C(C)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)NC(=O)C)C,1
C[C@H]1OC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](OC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@H](NC(=O)[C@@H](OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@H](NC1=O)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,1
C[C@@H]1C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](C)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@@H](C[C@@H]2O[C@H]([C@@H](C(=O)O[C@H](C[C@H]3O[C@@H]([C@H](C(=O)O1)C)CC3)C)C)CC2)C,1
CO[C@H]1[C@@H](CO[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C)O[C@@H]1/C(=C/C[C@@H]2C[C@H](OC(=O)[C@H]3[C@@]4(/C(=C/C=C/[C@@H]1C)/CO[C@H]4[C@H](O)C(=C3)C)O)C[C@@]1(O2)CC[C@@H]([C@H](O1)[C@@H](CC)C)C)/C,1
C/C=C/C[C@H]([C@H]([C@H]1C(=O)N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)O)C,1
CS[C@@H]1SC[C@H]2N(C)C(=O)[C@@H](C)NC(=O)[C@H](COC(=O)[C@@H](N(C(=O)[C@H]1N(C)C(=O)[C@H](C)NC(=O)[C@H](COC(=O)[C@H](N(C2=O)C)C(C)C)NC(=O)c1cnc2c(n1)cccc2)C)C(C)C)NC(=O)c1cnc2c(n1)cccc2,1
CCC(=O)O[C@H]1C(=O)[C@@]2(C)[C@@H](O)C[C@@H]3[C@]([C@H]2[C@@H]([C@@]24C(C1=C(C)[C@@H](OC(=O)[C@@H]([C@@H](NC(=O)OC(C)(C)C)C=C(C)C)O)[C@@H]2OC(=O)O4)(C)C)OC(=O)c1ccccc1)(CO3)OC(=O)C,1
CC(C[C@@H]([C@H](C(=O)O[C@@H]1C(=C2[C@@H](OC(=O)C)C(=O)[C@@]3([C@@H]([C@@H]([C@]4([C@H]1OC(=O)O4)C2(C)C)OC(=O)c1ccccc1)[C@]1(CO[C@@H]1C[C@@H]3O)OC(=O)C)C)C)O)NC(=O)OC(C)(C)C)C,1
