smiles,status
Clc1ccc(c(c1)O)Cl,1
CC=O,1
O=C1C2(Cl)C3(C4(C1(Cl)C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,1
Nc1ccc(cc1)O,1
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,1
OC(=O)C(=O)Cc1c[nH]c2c1cccc2,1
Oc1ccc(cc1)[N+](=O)[O-],1
CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OCC,1
Clc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,1
O=CCc1ccccc1,1
Oc1c(O)cccc1O,1
O[Se](=O)O,1
NCCS(=O)(=O)O,1
Brc1cc(Br)c(c(c1)Br)O,1
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O,1
Cc1ccc2c3c1CCc3c1c(c2)c2ccccc2cc1,1
Oc1ccc(c(c1)C)Cl,1
N#CC(=Cc1ccc(c(c1)O)O)C#N,1
CCCSc1ccc2c(c1)[nH]c(n2)NC(=O)OC,1
O=C(c1ccc2c(c1)C(C)(C)CCC2(C)C)Nc1ccc(cc1)C(=O)O,1
COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OCC(=O)C)C,1
CCCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC,1
CC(N1C(=O)c2ccccc2NS1(=O)=O)C,1
CCc1oc2c(c1C(=O)c1cc(Br)c(c(c1)Br)O)cccc2,1
S=C=NCc1ccccc1,1
CC(c1cc(O)c(cc1O)C(C)(C)C)(C)C,1
CC(=O)Oc1ccc(cc1)C(c1ccccn1)c1ccc(cc1)OC(=O)C,1
Clc1cc(Sc2cc(Cl)cc(c2O)Cl)c(c(c1)Cl)O,1
CCOc1nc2c(n1Cc1ccc(cc1)c1ccccc1c1n[nH]nn1)c(ccc2)C(=O)OC(OC(=O)OC1CCCCC1)C,1
CCOc1nc2c(n1Cc1ccc(cc1)c1ccccc1c1n[nH]nn1)c(ccc2)C(=O)O,1
CCCCCc1cc(O)c2-c3cc(C)ccc3C(Oc2c1)(C)C,1
N#CC(=NNc1cccc(c1)Cl)C#N,1
Clc1cc(Cl)c2c(c1O)nccc2,1
Oc1cc(C)c(c(c1)C)Cl,1
CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,1
O=C1NC(=O)C(S1)Cc1ccc(cc1)OCC1(C)CCCCC1,1
Ic1cc(Cl)c2c(c1O)nccc2,1
Clc1ccc(c(c1)Cl)Cc1cc(ccc1O)C(CC(C)(C)C)(C)C,1
Clc1ccc(c2c1cccn2)O,1
CC1CC(OC(=O)C(c2ccccc2)O)CC(C1)(C)C,1
Oc1cccc2c1C(=O)c1c(C2=O)cccc1O,1
ClC(=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl,1
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,1
Oc1ccc(cc1Cc1cc(Cl)ccc1O)Cl,1
CCC(=C(c1ccc(cc1)O)CC)c1ccc(cc1)O,1
[O-][n+]1ccccc1SSc1cccc[n+]1[O-],1
CCN(C(=S)SSC(=S)N(CC)CC)CC,1
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,1
O=c1c2ccccc2[se]n1c1ccccc1,1
Cc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)O,1
O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,1
CCCCCCOc1ccccc1C(=O)N,1
COC(=O)Nc1nc2c([nH]1)cc(cc2)Sc1ccccc1,1
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C(c1ccc(cc1)Cl)C(C)C,1
CCC(=O)c1c(O)cc(cc1O)O,1
OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,1
O=C(C(C)C)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],1
CC(c1nnc(s1)NS(=O)(=O)c1ccccc1)(C)C,1
O=Cc1c(O)c(O)c(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)c(C=O)c(c(c2C(C)C)O)O)C(C)C,1
ClC1C=CC2C1C1(Cl)C(=C(C2(C1(Cl)Cl)Cl)Cl)Cl,1
Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,1
CCCCCCc1ccc(cc1O)O,1
CC(Cc1ccc(cc1)C(C(=O)O)C)C,1
OCc1c[nH]c2c1cccc2,1
